1,russell brand has announced he has filed for divorce from us singer katy perry after 14 months of marriage.,russell brand files for divorce from katy perry,0.5400617248673216,1,0,0,0,0
1,sears holdings also anticipates a non-cash charge of $1.6bn to $1.8bn in the quarter to write off the value of carried-over tax deductions it now doesn't expect to be profitable enough to use.,sears to close 100-120 stores after poor holiday sales,0.21128856368212914,0,1,0,0,0
1,"attributing the development to the poor, the labourers and the farmers, mr. gandhi said that in uttar pradesh they were being compelled to migrate elsewhere.","rahul flays mayawati's stand on food security bill, mgnregs",0.0,0,0,0,0,1
1,"blaming the non-congress governments for the state's backwardness, the amethi mp urged the people to spare five years to the congress and claimed this would mark the beginning of a change in u.p.","rahul flays mayawati's stand on food security bill, mgnregs",0.03779644730092272,0,0,0,0,1
0,"but eric wiebes, amsterdam city alderman for transit, said electric cars pay for themselves by helping meet european air-quality standards.",daimler in all-electric car-share launch - ft.com,0.06950480468569159,0,0,0,1,0
1,"if you target commercial heavy drivers, switching to electric vehicles is rated one of the single most effective ways of abating air pollution, mr wiebes says.",daimler in all-electric car-share launch - ft.com,0.0629940788348712,0,0,0,1,0
0,"car2gos programmes average five to 10 drivers per car each day, mr dubbelman says.",daimler in all-electric car-share launch - ft.com,0.0890870806374748,0,0,0,1,0
1,that is not entirely welcome news for car manufacturers; experts estimate that each shared car replaces four to 10 private cars.,daimler in all-electric car-share launch - ft.com,0.13333333333333333,0,0,0,1,0
0,bmw last year completed one of the biggest real-life road tests of evs on an electric mini with a 100-mile driving range.,evs driven to their limits,0.08770580193070293,0,0,0,1,0
1,"the carmaker, which in 2013 will launch a sub-brand devoted to plug-in cars, found that most drivers of the car in germany had to recharge only three times a week, and were able to do it at home.",evs driven to their limits,0.17928429140015903,0,0,0,1,0
1,"""in tunisia,"" added her 16-year-old daughter basma, ""dignity is more important than bread.""",person of the year 2011: the protester,0.08606629658238703,0,0,1,0,0
1,"""the whole region is heading toward a moderate islam and an islam which is democratic, through the reconciliation between islam and modernity,"" the wall street journal quoted him as saying.","after the arab spring: islam, democracy, bikinis and polygamy - .com",0.37300192329612547,0,1,0,0,0
1,"and in recent decades it has become even more critical: one-third of the oil carried by sea passes through hormuz -- that's some 15 million barrels every day, according to the u.s. energy information administration.",analysis: saber-rattling in strait of hormuz - .com,0.1656472891122698,1,0,0,0,0
0,"the strait is thought to have been named for the persian word hur-mogh, the date palm found on the coast.",analysis: saber-rattling in strait of hormuz - .com,0.06154574548966636,0,1,0,0,0
1,"it was mentioned in a first-century mariner's account, ""the periplus of the erythtraean sea,"" and through the ages was known for its pearls.",analysis: saber-rattling in strait of hormuz - .com,0.12309149097933272,0,1,0,0,0
1,prime minister dr. manmohan singh on tuesday strongly defended the supremacy of the parliament in enacting laws even as he firmly rejected the demands from the civil rights activists and some opposition parties to bring the cbi under the administrative control of the lokpal.,manmohan says no to demand for bringing cbi under lokpal,0.1685499656158105,1,0,0,0,0
0,"intervening in the debate on the lokpal and lokayukktas bill 2011 in the lok sabha, he said the cbi could not be brought under the lokpal as that would create an executive structure outside the parliament which was ""accountable to none"".",manmohan says no to demand for bringing cbi under lokpal,0.18257418583505533,1,0,0,0,0
0,"it would be an ""anathema to sound constitutional principles"".",manmohan says no to demand for bringing cbi under lokpal,0.10540925533894598,1,0,0,0,0
1,the present lokpal bill contained a judicious blend of functional autonomy and accountability of the cbi.,manmohan says no to demand for bringing cbi under lokpal,0.14142135623730948,1,0,0,0,0
0,others can persuade and have their voices heard.,manmohan says no to demand for bringing cbi under lokpal,0.0,0,0,0,1,0
0,but the decision must rest with us.,manmohan says no to demand for bringing cbi under lokpal,0.0,0,0,0,1,0
0,"at the same time we must keep in mind the fact that corruption and its consequences eat into the body politics, we have seen public anger,"" he said.",manmohan says no to demand for bringing cbi under lokpal,0.0,0,0,0,1,0
1,felony charges filed against uc and a ucla chemistry professor after fatal laboratory fire,felony charges filed against uc and a ucla chemistry professor after fatal laboratory fire,1.0,1,0,0,0,0
1,"two rematches of regular-season games will highlight the wild-card round, which was set up when cincinnati grabbed the final afc spot sunday and atlanta moved ahead of detroit in the nfc.","broncos, giants win divisions, while patriots top afc",0.05521576303742327,1,0,0,0,0
1,"the bengals got into the postseason despite losing 24-16 to baltimore, winning a tiebreaker at 9-7 over tennessee.","broncos, giants win divisions, while patriots top afc",0.0,1,0,0,0,0
0,cincinnati visits houston to open the playoffs on saturday.,"broncos, giants win divisions, while patriots top afc",0.0,1,0,0,0,0
0,they are usually metal oxides or metal hydroxides.,bbc - gcse bitesize: acids and bases,0.0,0,0,1,0,0
0,"for example, copper oxide and sodium hydroxide are bases.",bbc - gcse bitesize: acids and bases,0.2721655269759087,0,0,1,0,0
1,"half a century after the publication of the influential book sex and the single girl, frank assessments of sexual mores are everywhere - in films, fiction and myriad magazine columns.",the woman credited with creating the sexy single girl,0.38624363966821407,1,0,0,0,0
0,"it wasn't always that way, writes karen krizanovich.",the woman credited with creating the sexy single girl,0.0,1,0,0,0,0
0,"sounds pretty bad, right?",5 foods to ease a hangover,0.0,0,0,0,0,1
0,"you may be thinking, can food actually help?",5 foods to ease a hangover,0.0,0,0,0,0,1
1,"although no strong scientific evidence exists classifying these foods as cures, given the physiologic changes that occur with a night of drinking, they surely can't hurt!",5 foods to ease a hangover,0.15713484026367722,0,0,0,0,1
1,experts say the tens of thousands of prisoners at the camps are often taken from their homes or in the street for supposed 'political crimes' rather than actual misdemeanours.,'hell on earth': detailed satellite photos show death camps north korea still deny even exist,0.042447635997800895,1,0,0,0,0
1,"this is if they are not killed by torture, firing squad, or a public stoning by kim jong-il's violent guards, former prisoners say.",'hell on earth': detailed satellite photos show death camps north korea still deny even exist,0.0,0,1,0,0,0
1,"south korea's former first lady lee hee-ho has met the north's designated new leader kim jong-un during a trip to pyongyang, seoul officials say.",south korea ex-first lady lee hee-ho meets kim jong-un,0.5270462766947299,1,0,0,0,0
1,"mrs lee, 89, had a brief meeting with kim jong-un during a visit to offer condolences for the death of his father, kim jong-il.",south korea ex-first lady lee hee-ho meets kim jong-un,0.30618621784789724,1,0,0,0,0
1,"the republican redistricting plan would dramatically change the north carolina political map, likely shifting the house delegation from the current mix of 7 democrats and 6 republicans to one with just 3 democrats and 10 republicans.",progressives' fundraising strength tested by key race,0.0,1,0,0,0,0
0,"about half of the state's african american population -- 21.5 percent of the state -- would be situated in just three districts, making a successful civil rights challenge to the redistricting a very real possibility.",progressives' fundraising strength tested by key race,0.0,1,0,0,0,0
