0,http://www.huffingtonpost.com/kristin-kirkpatrick-ms-rd-ld/hangover-cure_b_1140639.html?view=screen,"sounds pretty bad, right? you may be thinking, can food actually help? although no strong scientific evidence exists classifying these foods as cures, given the physiologic changes that occur with a night of drinking, they surely can't hurt!","sounds pretty bad, right?",5 foods to ease a hangover,5,0.8333333333333334
1,http://www.huffingtonpost.com/2011/12/23/north-carolina-brad-miller-2012_n_1162040.html?igoogle=1,"the republican redistricting plan would dramatically change the north carolina political map, likely shifting the house delegation from the current mix of 7 democrats and 6 republicans to one with just 3 democrats and 10 republicans. about half of the state's african american population -- 21.5 percent of the state -- would be situated in just three districts, making a successful civil rights challenge to the redistricting a very real possibility.","the republican redistricting plan would dramatically change the north carolina political map, likely shifting the house delegation from the current mix of 7 democrats and 6 republicans to one with just 3 democrats and 10 republicans.",progressives' fundraising strength tested by key race,2,0.16666666666666666
0,http://www.bbc.co.uk/schools/gcsebitesize/science/add_aqa_pre_2011/ions/acidsbasesrev1.shtml,"substances that can react with acids and neutralise them to make a salt and water are called bases. they are usually metal oxides or metal hydroxides. for example, copper oxide and sodium hydroxide are bases.",they are usually metal oxides or metal hydroxides.,bbc - gcse bitesize: acids and bases,4,0.5714285714285714
1,http://www.guardian.co.uk/world/2011/dec/27/sears-kmart-stores-to-close,sears holdings also anticipates a non-cash charge of $1.6bn to $1.8bn in the quarter to write off the value of carried-over tax deductions it now doesn't expect to be profitable enough to use.,sears holdings also anticipates a non-cash charge of $1.6bn to $1.8bn in the quarter to write off the value of carried-over tax deductions it now doesn't expect to be profitable enough to use.,sears to close 100-120 stores after poor holiday sales,8,0.2962962962962963
1,http://www.thehindu.com/news/national/article2745211.ece,"attributing the development to the poor, the labourers and the farmers, mr. gandhi said that in uttar pradesh they were being compelled to migrate elsewhere. blaming the non-congress governments for the state's backwardness, the amethi mp urged the people to spare five years to the congress and claimed this would mark the beginning of a change in u.p.","attributing the development to the poor, the labourers and the farmers, mr. gandhi said that in uttar pradesh they were being compelled to migrate elsewhere.","rahul flays mayawati's stand on food security bill, mgnregs",9,0.9
1,http://edition.cnn.com/2011/12/28/world/meast/iran-hormuz/index.html?hpt=hp_c1,"the strait is thought to have been named for the persian word hur-mogh, the date palm found on the coast. it was mentioned in a first-century mariner's account, ""the periplus of the erythtraean sea,"" and through the ages was known for its pearls.","it was mentioned in a first-century mariner's account, ""the periplus of the erythtraean sea,"" and through the ages was known for its pearls.",analysis: saber-rattling in strait of hormuz - .com,5,0.3333333333333333
1,http://www.ft.com/cms/s/0/8e5a4f40-176a-11e1-b20e-00144feabdc0.html#axzz1iF0kRywq,"but eric wiebes, amsterdam city alderman for transit, said electric cars pay for themselves by helping meet european air-quality standards. if you target commercial heavy drivers, switching to electric vehicles is rated one of the single most effective ways of abating air pollution, mr wiebes says.","if you target commercial heavy drivers, switching to electric vehicles is rated one of the single most effective ways of abating air pollution, mr wiebes says.",daimler in all-electric car-share launch - ft.com,10,0.625
1,http://www.bbc.co.uk/news/magazine-16219294,"half a century after the publication of the influential book sex and the single girl, frank assessments of sexual mores are everywhere - in films, fiction and myriad magazine columns. it wasn't always that way, writes karen krizanovich.","half a century after the publication of the influential book sex and the single girl, frank assessments of sexual mores are everywhere - in films, fiction and myriad magazine columns.",the woman credited with creating the sexy single girl,1,0.034482758620689655
1,http://www.thehindu.com/news/national/article2752128.ece?homepage=true,prime minister dr. manmohan singh on tuesday strongly defended the supremacy of the parliament in enacting laws even as he firmly rejected the demands from the civil rights activists and some opposition parties to bring the cbi under the administrative control of the lokpal.,prime minister dr. manmohan singh on tuesday strongly defended the supremacy of the parliament in enacting laws even as he firmly rejected the demands from the civil rights activists and some opposition parties to bring the cbi under the administrative control of the lokpal.,manmohan says no to demand for bringing cbi under lokpal,1,0.07692307692307693
0,http://www.thehindu.com/news/national/article2752128.ece?homepage=true,"""the task of legislation is a very serious business and must eventually be performed by all of us who have been constitutionally assigned this duty. others can persuade and have their voices heard. but the decision must rest with us. at the same time we must keep in mind the fact that corruption and its consequences eat into the body politics, we have seen public anger,"" he said.",others can persuade and have their voices heard.,manmohan says no to demand for bringing cbi under lokpal,8,0.6153846153846154
0,http://www.foxnews.com/sports/2012/01/02/broncos-giants-win-divisions-while-patriots-top-afc/,"the bengals got into the postseason despite losing 24-16 to baltimore, winning a tiebreaker at 9-7 over tennessee. cincinnati visits houston to open the playoffs on saturday.",cincinnati visits houston to open the playoffs on saturday.,"broncos, giants win divisions, while patriots top afc",3,0.1111111111111111
0,http://www.huffingtonpost.com/2011/12/23/north-carolina-brad-miller-2012_n_1162040.html?igoogle=1,"the republican redistricting plan would dramatically change the north carolina political map, likely shifting the house delegation from the current mix of 7 democrats and 6 republicans to one with just 3 democrats and 10 republicans. about half of the state's african american population -- 21.5 percent of the state -- would be situated in just three districts, making a successful civil rights challenge to the redistricting a very real possibility.","about half of the state's african american population -- 21.5 percent of the state -- would be situated in just three districts, making a successful civil rights challenge to the redistricting a very real possibility.",progressives' fundraising strength tested by key race,2,0.16666666666666666
1,http://www.bbc.co.uk/news/entertainment-arts-16369331,russell brand has announced he has filed for divorce from us singer katy perry after 14 months of marriage.,russell brand has announced he has filed for divorce from us singer katy perry after 14 months of marriage.,russell brand files for divorce from katy perry,1,0.09090909090909091
0,http://www.thehindu.com/news/national/article2752128.ece?homepage=true,"intervening in the debate on the lokpal and lokayukktas bill 2011 in the lok sabha, he said the cbi could not be brought under the lokpal as that would create an executive structure outside the parliament which was ""accountable to none"". it would be an ""anathema to sound constitutional principles"". the present lokpal bill contained a judicious blend of functional autonomy and accountability of the cbi.","intervening in the debate on the lokpal and lokayukktas bill 2011 in the lok sabha, he said the cbi could not be brought under the lokpal as that would create an executive structure outside the parliament which was ""accountable to none"".",manmohan says no to demand for bringing cbi under lokpal,2,0.15384615384615385
1,http://www.foxnews.com/sports/2012/01/02/broncos-giants-win-divisions-while-patriots-top-afc/,"two rematches of regular-season games will highlight the wild-card round, which was set up when cincinnati grabbed the final afc spot sunday and atlanta moved ahead of detroit in the nfc.","two rematches of regular-season games will highlight the wild-card round, which was set up when cincinnati grabbed the final afc spot sunday and atlanta moved ahead of detroit in the nfc.","broncos, giants win divisions, while patriots top afc",2,0.07407407407407407
1,http://www.bbc.co.uk/news/world-asia-16333767,"mrs lee, 89, had a brief meeting with kim jong-un during a visit to offer condolences for the death of his father, kim jong-il.","mrs lee, 89, had a brief meeting with kim jong-un during a visit to offer condolences for the death of his father, kim jong-il.",south korea ex-first lady lee hee-ho meets kim jong-un,2,0.10526315789473684
0,http://edition.cnn.com/2011/12/28/world/meast/iran-hormuz/index.html?hpt=hp_c1,"the strait is thought to have been named for the persian word hur-mogh, the date palm found on the coast. it was mentioned in a first-century mariner's account, ""the periplus of the erythtraean sea,"" and through the ages was known for its pearls.","the strait is thought to have been named for the persian word hur-mogh, the date palm found on the coast.",analysis: saber-rattling in strait of hormuz - .com,5,0.3333333333333333
0,http://www.huffingtonpost.com/kristin-kirkpatrick-ms-rd-ld/hangover-cure_b_1140639.html?view=screen,"sounds pretty bad, right? you may be thinking, can food actually help? although no strong scientific evidence exists classifying these foods as cures, given the physiologic changes that occur with a night of drinking, they surely can't hurt!","you may be thinking, can food actually help?",5 foods to ease a hangover,5,0.8333333333333334
1,http://www.bbc.co.uk/news/world-asia-16333767,"south korea's former first lady lee hee-ho has met the north's designated new leader kim jong-un during a trip to pyongyang, seoul officials say.","south korea's former first lady lee hee-ho has met the north's designated new leader kim jong-un during a trip to pyongyang, seoul officials say.",south korea ex-first lady lee hee-ho meets kim jong-un,1,0.05263157894736842
1,"http://www.latimes.com/news/local/la-me-1228-ucla-death-20111228,0,7543387.story",felony charges filed against uc and a ucla chemistry professor after fatal laboratory fire,felony charges filed against uc and a ucla chemistry professor after fatal laboratory fire,felony charges filed against uc and a ucla chemistry professor after fatal laboratory fire,1,0.0625
1,http://www.huffingtonpost.com/kristin-kirkpatrick-ms-rd-ld/hangover-cure_b_1140639.html?view=screen,"sounds pretty bad, right? you may be thinking, can food actually help? although no strong scientific evidence exists classifying these foods as cures, given the physiologic changes that occur with a night of drinking, they surely can't hurt!","although no strong scientific evidence exists classifying these foods as cures, given the physiologic changes that occur with a night of drinking, they surely can't hurt!",5 foods to ease a hangover,5,0.8333333333333334
0,http://www.ft.com/cms/s/0/4a9a43f2-3545-11e1-a4ab-00144feabdc0.html#axzz1iNbJUUht,"bmw last year completed one of the biggest real-life road tests of evs on an electric mini with a 100-mile driving range. the carmaker, which in 2013 will launch a sub-brand devoted to plug-in cars, found that most drivers of the car in germany had to recharge only three times a week, and were able to do it at home.",bmw last year completed one of the biggest real-life road tests of evs on an electric mini with a 100-mile driving range.,evs driven to their limits,5,0.7142857142857143
1,http://www.ft.com/cms/s/0/4a9a43f2-3545-11e1-a4ab-00144feabdc0.html#axzz1iNbJUUht,"bmw last year completed one of the biggest real-life road tests of evs on an electric mini with a 100-mile driving range. the carmaker, which in 2013 will launch a sub-brand devoted to plug-in cars, found that most drivers of the car in germany had to recharge only three times a week, and were able to do it at home.","the carmaker, which in 2013 will launch a sub-brand devoted to plug-in cars, found that most drivers of the car in germany had to recharge only three times a week, and were able to do it at home.",evs driven to their limits,5,0.7142857142857143
0,http://www.thehindu.com/news/national/article2752128.ece?homepage=true,"""the task of legislation is a very serious business and must eventually be performed by all of us who have been constitutionally assigned this duty. others can persuade and have their voices heard. but the decision must rest with us. at the same time we must keep in mind the fact that corruption and its consequences eat into the body politics, we have seen public anger,"" he said.",but the decision must rest with us.,manmohan says no to demand for bringing cbi under lokpal,8,0.6153846153846154
0,http://www.ft.com/cms/s/0/8e5a4f40-176a-11e1-b20e-00144feabdc0.html#axzz1iF0kRywq,"but eric wiebes, amsterdam city alderman for transit, said electric cars pay for themselves by helping meet european air-quality standards. if you target commercial heavy drivers, switching to electric vehicles is rated one of the single most effective ways of abating air pollution, mr wiebes says.","but eric wiebes, amsterdam city alderman for transit, said electric cars pay for themselves by helping meet european air-quality standards.",daimler in all-electric car-share launch - ft.com,10,0.625
0,http://www.bbc.co.uk/schools/gcsebitesize/science/add_aqa_pre_2011/ions/acidsbasesrev1.shtml,"substances that can react with acids and neutralise them to make a salt and water are called bases. they are usually metal oxides or metal hydroxides. for example, copper oxide and sodium hydroxide are bases.","for example, copper oxide and sodium hydroxide are bases.",bbc - gcse bitesize: acids and bases,4,0.5714285714285714
0,http://www.thehindu.com/news/national/article2752128.ece?homepage=true,"intervening in the debate on the lokpal and lokayukktas bill 2011 in the lok sabha, he said the cbi could not be brought under the lokpal as that would create an executive structure outside the parliament which was ""accountable to none"". it would be an ""anathema to sound constitutional principles"". the present lokpal bill contained a judicious blend of functional autonomy and accountability of the cbi.","it would be an ""anathema to sound constitutional principles"".",manmohan says no to demand for bringing cbi under lokpal,2,0.15384615384615385
1,http://www.foxnews.com/sports/2012/01/02/broncos-giants-win-divisions-while-patriots-top-afc/,"the bengals got into the postseason despite losing 24-16 to baltimore, winning a tiebreaker at 9-7 over tennessee. cincinnati visits houston to open the playoffs on saturday.","the bengals got into the postseason despite losing 24-16 to baltimore, winning a tiebreaker at 9-7 over tennessee.","broncos, giants win divisions, while patriots top afc",3,0.1111111111111111
1,"http://www.time.com/time/specials/packages/article/0,28804,2101745_2102132_2102373-1,00.html","""in tunisia,"" added her 16-year-old daughter basma, ""dignity is more important than bread.""","""in tunisia,"" added her 16-year-old daughter basma, ""dignity is more important than bread.""",person of the year 2011: the protester,8,0.5714285714285714
1,http://edition.cnn.com/2011/12/28/world/meast/iran-hormuz/index.html?hpt=hp_c1,"and in recent decades it has become even more critical: one-third of the oil carried by sea passes through hormuz -- that's some 15 million barrels every day, according to the u.s. energy information administration.","and in recent decades it has become even more critical: one-third of the oil carried by sea passes through hormuz -- that's some 15 million barrels every day, according to the u.s. energy information administration.",analysis: saber-rattling in strait of hormuz - .com,2,0.13333333333333333
0,http://www.ft.com/cms/s/0/8e5a4f40-176a-11e1-b20e-00144feabdc0.html#axzz1iF0kRywq,"car2gos programmes average five to 10 drivers per car each day, mr dubbelman says. that is not entirely welcome news for car manufacturers; experts estimate that each shared car replaces four to 10 private cars.","car2gos programmes average five to 10 drivers per car each day, mr dubbelman says.",daimler in all-electric car-share launch - ft.com,11,0.6875
